workerid,proliferate.condition,item,item_type,maximality,response,slide_number,state,stim,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.item_comments,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
185,experiment_1,soda,control,partial,FALSE,15,0,Andy drank the soda,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
185,experiment_1,apple,critical,partial,TRUE,16,4,Andy ate the apple,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
185,experiment_1,banana,filler,maximal,TRUE,17,3,Andy ate the banana,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
185,experiment_1,tea,filler,maximal,TRUE,18,2,Andy drank the tea,[],31,Yes,None,2,1,.20,Male,None,English,No,Chrome,Linux,732,412,3.2998,
114,experiment_1,soda,critical,partial,TRUE,3,1,Andy drank the soda,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,wing,baseline,partial,TRUE,4,5,Andy ate the wing,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,tea,baseline,maximal,TRUE,5,5,Andy drank the tea,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,whiskey,filler,partial,TRUE,6,3,Andy drank the whiskey,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,apple,filler,partial,TRUE,7,1,Andy ate the apple,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,tea,critical,maximal,TRUE,8,4,Andy drank the tea,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,wing,critical,partial,TRUE,9,2,Andy ate the wing,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,coffee,filler,maximal,TRUE,10,4,Andy drank the coffee,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,cookie,filler,maximal,TRUE,11,2,Andy ate the cookie,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,soda,baseline,partial,TRUE,12,5,Andy drank the soda,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,banana,critical,maximal,TRUE,13,3,Andy ate the banana,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,cookie,control,maximal,FALSE,14,0,Andy ate the cookie,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,apple,control,partial,FALSE,15,0,Andy ate the apple,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,banana,baseline,maximal,TRUE,16,5,Andy ate the banana,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,coffee,control,maximal,FALSE,17,0,Andy drank the coffee,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
114,experiment_1,whiskey,control,partial,FALSE,18,0,Andy drank the whiskey,[],45,Yes,,4,1,1.00,Female,,English,,Chrome,Windows,1080,1920,1.6956166666666668,
158,experiment_1,tea,critical,maximal,TRUE,3,2,Andy drank the tea,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,tea,baseline,maximal,TRUE,4,5,Andy drank the tea,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,coffee,filler,maximal,TRUE,5,1,Andy drank the coffee,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,soda,baseline,partial,TRUE,6,5,Andy drank the soda,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,apple,critical,partial,TRUE,7,4,Andy ate the apple,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,coffee,control,maximal,FALSE,8,0,Andy drank the coffee,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,banana,baseline,maximal,TRUE,9,5,Andy ate the banana,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,banana,critical,maximal,TRUE,10,3,Andy ate the banana,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,cookie,filler,maximal,TRUE,11,4,Andy ate the cookie,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,apple,baseline,partial,TRUE,12,5,Andy ate the apple,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,whiskey,control,partial,FALSE,13,0,Andy drank the whiskey,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,cookie,control,maximal,FALSE,14,0,Andy ate the cookie,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,whiskey,filler,partial,TRUE,15,3,Andy drank the whiskey,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,wing,control,partial,FALSE,16,0,Andy ate the wing,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,wing,filler,partial,TRUE,17,2,Andy ate the wing,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
158,experiment_1,soda,critical,partial,FALSE,18,1,Andy drank the soda,[],52,Yes,,3,2,1,Male,,English,no,Chrome,Windows,1080,1920,1.6552,
165,experiment_1,apple,baseline,partial,TRUE,3,5,Andy ate the apple,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,soda,filler,partial,TRUE,4,2,Andy drank the soda,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,soda,control,partial,FALSE,5,0,Andy drank the soda,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,cookie,baseline,maximal,TRUE,6,5,Andy ate the cookie,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,whiskey,critical,partial,TRUE,7,3,Andy drank the whiskey,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,coffee,baseline,maximal,TRUE,8,5,Andy drank the coffee,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,tea,filler,maximal,TRUE,9,3,Andy drank the tea,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,wing,control,partial,FALSE,10,0,Andy ate the wing,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,banana,control,maximal,FALSE,11,0,Andy ate the banana,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,banana,filler,maximal,TRUE,12,4,Andy ate the banana,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,whiskey,baseline,partial,TRUE,13,5,Andy drank the whiskey,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,tea,control,maximal,FALSE,14,0,Andy drank the tea,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,coffee,critical,maximal,TRUE,15,1,Andy drank the coffee,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,cookie,critical,maximal,TRUE,16,2,Andy ate the cookie,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,apple,critical,partial,TRUE,17,4,Andy ate the apple,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
165,experiment_1,wing,filler,partial,TRUE,18,1,Andy ate the wing,[],35,Yes,,3,2,,Male,,English,,Safari,iPhone/iPod,667,375,2.4720166666666668,
228,experiment_1,apple,baseline,partial,TRUE,3,5,Andy ate the apple,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,banana,control,maximal,FALSE,4,0,Andy ate the banana,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,tea,filler,maximal,TRUE,5,3,Andy drank the tea,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,wing,filler,partial,FALSE,6,1,Andy ate the wing,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,cookie,baseline,maximal,TRUE,7,5,Andy ate the cookie,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,soda,control,partial,FALSE,8,0,Andy drank the soda,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,wing,control,partial,FALSE,9,0,Andy ate the wing,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,whiskey,baseline,partial,TRUE,10,5,Andy drank the whiskey,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,apple,critical,partial,TRUE,11,3,Andy ate the apple,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,whiskey,critical,partial,TRUE,12,4,Andy drank the whiskey,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,cookie,critical,maximal,FALSE,13,1,Andy ate the cookie,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,tea,control,maximal,FALSE,14,0,Andy drank the tea,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,coffee,baseline,maximal,TRUE,15,5,Andy drank the coffee,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,soda,filler,partial,TRUE,16,4,Andy drank the soda,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,banana,filler,maximal,TRUE,17,2,Andy ate the banana,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
228,experiment_1,coffee,critical,maximal,TRUE,18,2,Andy drank the coffee,[],21,Yes,,2,1,0.50,Female,,English,,Chrome,Windows,800,1280,1.4793166666666666,
181,experiment_1,whiskey,baseline,partial,TRUE,3,5,Andy drank the whiskey,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,coffee,baseline,maximal,TRUE,4,5,Andy drank the coffee,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,banana,critical,maximal,TRUE,5,3,Andy ate the banana,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,whiskey,critical,partial,TRUE,6,4,Andy drank the whiskey,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,tea,filler,maximal,TRUE,7,4,Andy drank the tea,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,coffee,critical,maximal,TRUE,8,1,Andy drank the coffee,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,cookie,filler,maximal,TRUE,9,2,Andy ate the cookie,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,apple,filler,partial,TRUE,10,3,Andy ate the apple,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,soda,filler,partial,TRUE,11,1,Andy drank the soda,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,soda,control,partial,FALSE,12,0,Andy drank the soda,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,cookie,control,maximal,FALSE,13,0,Andy ate the cookie,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,apple,control,partial,FALSE,14,0,Andy ate the apple,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,wing,baseline,partial,TRUE,15,5,Andy ate the wing,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,tea,control,maximal,TRUE,16,0,Andy drank the tea,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,banana,baseline,maximal,TRUE,17,5,Andy ate the banana,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
181,experiment_1,wing,critical,partial,TRUE,18,2,Andy ate the wing,[],35,Yes,,4,2,.10,Female,No,English ,No,Safari,iPhone/iPod,667,375,1.4287333333333334,
110,experiment_1,whiskey,baseline,partial,TRUE,3,5,Andy drank the whiskey,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,tea,control,maximal,FALSE,4,0,Andy drank the tea,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,coffee,baseline,maximal,TRUE,5,5,Andy drank the coffee,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,apple,control,partial,FALSE,6,0,Andy ate the apple,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,wing,critical,partial,TRUE,7,1,Andy ate the wing,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,banana,control,maximal,FALSE,8,0,Andy ate the banana,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,soda,control,partial,FALSE,9,0,Andy drank the soda,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,soda,filler,partial,TRUE,10,2,Andy drank the soda,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,cookie,baseline,maximal,TRUE,11,5,Andy ate the cookie,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,banana,filler,maximal,TRUE,12,3,Andy ate the banana,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,apple,filler,partial,TRUE,13,1,Andy ate the apple,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,wing,baseline,partial,TRUE,14,5,Andy ate the wing,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,whiskey,critical,partial,TRUE,15,4,Andy drank the whiskey,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,cookie,critical,maximal,TRUE,16,3,Andy ate the cookie,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,coffee,critical,maximal,TRUE,17,2,Andy drank the coffee,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
110,experiment_1,tea,filler,maximal,TRUE,18,4,Andy drank the tea,[],26,Yes,,1,1,25 cents,Male,,English,,Chrome,Windows,1080,1920,1.9092333333333331,
68,experiment_1,whiskey,critical,partial,TRUE,3,4,Andy drank the whiskey,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,soda,control,partial,FALSE,4,0,Andy drank the soda,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,wing,critical,partial,TRUE,5,2,Andy ate the wing,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,whiskey,baseline,partial,TRUE,6,5,Andy drank the whiskey,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,banana,critical,maximal,TRUE,7,1,Andy ate the banana,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,apple,filler,partial,TRUE,8,2,Andy ate the apple,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,banana,baseline,maximal,TRUE,9,5,Andy ate the banana,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,coffee,control,maximal,FALSE,10,0,Andy drank the coffee,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,wing,baseline,partial,TRUE,11,5,Andy ate the wing,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,tea,critical,maximal,TRUE,12,3,Andy drank the tea,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,cookie,filler,maximal,TRUE,13,4,Andy ate the cookie,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,soda,filler,partial,TRUE,14,1,Andy drank the soda,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,coffee,filler,maximal,TRUE,15,3,Andy drank the coffee,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,tea,baseline,maximal,TRUE,16,5,Andy drank the tea,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,cookie,control,maximal,FALSE,17,0,Andy ate the cookie,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
68,experiment_1,apple,control,partial,FALSE,18,0,Andy ate the apple,[],21,Yes,N/A,2,1,Yes,Male,N/A,English,N/A,Firefox,Linux,740,360,3.2742333333333336,
122,experiment_1,wing,critical,partial,TRUE,3,1,Andy ate the wing,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,soda,critical,partial,TRUE,4,3,Andy drank the soda,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,cookie,control,maximal,FALSE,5,0,Andy ate the cookie,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,cookie,filler,maximal,TRUE,6,1,Andy ate the cookie,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,whiskey,control,partial,FALSE,7,0,Andy drank the whiskey,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,wing,baseline,partial,TRUE,8,5,Andy ate the wing,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,banana,baseline,maximal,TRUE,9,5,Andy ate the banana,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,apple,control,partial,FALSE,10,0,Andy ate the apple,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,soda,baseline,partial,TRUE,11,5,Andy drank the soda,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,apple,filler,partial,TRUE,12,4,Andy ate the apple,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,tea,critical,maximal,TRUE,13,2,Andy drank the tea,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,coffee,control,maximal,FALSE,14,0,Andy drank the coffee,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,coffee,filler,maximal,FALSE,15,2,Andy drank the coffee,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,whiskey,filler,partial,TRUE,16,3,Andy drank the whiskey,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,banana,critical,maximal,TRUE,17,4,Andy ate the banana,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
122,experiment_1,tea,baseline,maximal,TRUE,18,5,Andy drank the tea,[],32,No,,2,1,,Male,,english,,Firefox,Windows,1080,1920,1.432483333333333,
121,experiment_1,coffee,baseline,maximal,TRUE,3,5,Andy drank the coffee,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,soda,control,partial,FALSE,4,0,Andy drank the soda,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,cookie,filler,maximal,FALSE,5,1,Andy ate the cookie,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,tea,control,maximal,FALSE,6,0,Andy drank the tea,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,coffee,critical,maximal,TRUE,7,3,Andy drank the coffee,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,wing,filler,partial,FALSE,8,4,Andy ate the wing,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,apple,baseline,partial,TRUE,9,5,Andy ate the apple,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,tea,filler,maximal,TRUE,10,3,Andy drank the tea,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,banana,critical,maximal,FALSE,11,2,Andy ate the banana,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,banana,baseline,maximal,TRUE,12,5,Andy ate the banana,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,soda,filler,partial,TRUE,13,2,Andy drank the soda,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,whiskey,critical,partial,FALSE,14,1,Andy drank the whiskey,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,whiskey,baseline,partial,TRUE,15,5,Andy drank the whiskey,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,cookie,control,maximal,FALSE,16,0,Andy ate the cookie,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,wing,control,partial,FALSE,17,0,Andy ate the wing,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
121,experiment_1,apple,critical,partial,TRUE,18,4,Andy ate the apple,[],34,Yes,,3,2,.54,Female,,English,No,Chrome,Linux,854,384,2.6209333333333333,
123,experiment_1,soda,control,partial,FALSE,3,0,Andy drank the soda,[],36,Yes,,3,1,1.00,Female,no,english,no,Chrome,Windows,720,1280,2.1052,
